model,epe_targeted_true_zero,epe_targeted_false_zero,epe_targeted_true_negative,epe_targeted_false_negative
ms-raft+,11.242356982827186,4.784739202730681,24.17509669739267,4.784692978842751
gma,12.186889344324236,4.449546663673676,25.124266921696456,4.447184759297449
flowformer++,11.345422637851343,4.423256461630049,24.379337553356006,4.422984210077836
raft,11.315262923940368,5.3345466136608435,24.14515190642813,5.388212584121072
videoflow,10.847979405263196,4.537472736155209,22.989804894768675,4.529946615530744
flowformer,10.98972775651061,4.520162356920216,24.00409196045088,4.520141513920996
pwcnet,10.949610090514888,6.243744290134181,22.8755862461484,6.2437443185759625
rpknet,11.266574615240097,4.585850947139703,24.309494547481123,4.58584937694604
maskflownet,10.489495008924733,5.923528294589208,22.823525478528893,5.9235281800770245
