model,epe_targeted_true_zero,epe_targeted_false_zero,epe_targeted_true_negative,epe_targeted_false_negative
ms-raft+,14.438646841697071,5.5625027745638205,27.361838154170822,5.561881742950367
gma,17.149270540475847,6.466568169775217,30.149179329302,6.469007211275723
flowformer++,13.532957207379134,4.217597038331239,26.65200208529182,4.226508820445641
raft,14.74659393377926,5.351717868447304,27.794987272179647,5.351657868597819
videoflow,20.13855170633482,11.453755062041076,31.888566447859226,11.490853308335595
flowformer,14.237295153089192,4.631823033612707,27.29828952861869,4.6315636665924735
pwcnet,18.25078251828318,10.306583259675813,30.424399450032606,10.30658320862314
rpknet,14.068292628552603,3.5960502746312515,27.297969193303068,3.5961010853881423
maskflownet,15.151762823695721,6.913972780497178,27.743926859420277,6.913996100166569
