model,epe_targeted_true_zero,epe_targeted_false_zero,epe_targeted_true_negative,epe_targeted_false_negative
ms-raft+,13.258509628409925,4.748733110563911,26.198473509498264,4.748148396190094
gma,14.264215244935906,4.732660009290861,27.333617516704226,4.701217136564462
flowformer++,13.26737547594568,3.4744184280219286,26.388062930625416,3.4737114823382833
raft,13.943266577565153,4.600440254418746,26.787022752347198,4.694527790079946
flowformer,14.589318251868953,4.849486637245054,27.557508417316104,4.842046701908112
pwcnet,18.18784763916679,12.278860732783443,30.138583155300307,12.277938665773558
rpknet,13.68482176972472,3.7063097334426383,26.84347576835881,3.704571869580642
videoflow,17.295358039244363,8.752489435802335,29.311878991645315,8.775045359134674
maskflownet,14.600318966222845,7.160206845532293,27.054439050736633,7.156976327170496
