base_lr,lr,data_time,loss,decode.loss_ce,decode.acc_seg,time,iter,memory,step
1.9613655770513682e-06,1.9613655770513682e-06,0.00960400104522705,2.796725845336914,2.796725845336914,5.18035888671875,0.3140775442123413,50,9442,50
3.962697798532355e-06,3.962697798532355e-06,0.009613943099975587,2.6774898767471313,2.6774898767471313,36.07921600341797,0.31401896476745605,100,5156,100
5.964030020013346e-06,5.964030020013346e-06,0.009529018402099609,2.3689138412475588,2.3689138412475588,65.14738464355469,0.31645855903625486,150,5156,150
7.965362241494336e-06,7.965362241494336e-06,0.009277534484863282,1.9125054836273194,1.9125054836273194,62.874637603759766,0.30957281589508057,200,5156,200
9.96669446297533e-06,9.96669446297533e-06,0.00917644500732422,1.504105693101883,1.504105693101883,84.72625732421875,0.3098451614379883,250,5156,250
1.1968026684456319e-05,1.1968026684456319e-05,0.009194159507751464,1.6898049712181091,1.6898049712181091,40.534019470214844,0.31414811611175536,300,5156,300
1.3969358905937323e-05,1.3969358905937323e-05,0.009408712387084961,1.5765488624572754,1.5765488624572754,76.75018310546875,0.31594274044036863,350,5156,350
1.597069112741831e-05,1.597069112741831e-05,0.00923142433166504,1.5387691020965577,1.5387691020965577,68.3492660522461,0.31446883678436277,400,5156,400
1.797202334889931e-05,1.797202334889931e-05,0.009249424934387207,1.0184940934181212,1.0184940934181212,86.47924041748047,0.3163557767868042,450,5156,450
1.9973355570380306e-05,1.9973355570380306e-05,0.009536290168762207,1.051048958301544,1.051048958301544,63.024810791015625,0.31772193908691404,500,5156,500
2.1974687791861306e-05,2.1974687791861306e-05,0.009235095977783204,1.0913141578435899,1.0913141578435899,87.63368225097656,0.3151750087738037,550,5156,550
2.3976020013342307e-05,2.3976020013342307e-05,0.009149432182312012,1.3622735440731049,1.3622735440731049,51.35551834106445,0.31421058177947997,600,5156,600
2.597735223482329e-05,2.597735223482329e-05,0.00917661190032959,0.8771378874778748,0.8771378874778748,82.34822082519531,0.3147331476211548,650,5156,650
2.797868445630428e-05,2.797868445630428e-05,0.009314680099487304,1.077137640118599,1.077137640118599,81.10466003417969,0.31664650440216063,700,5156,700
2.99800166777853e-05,2.99800166777853e-05,0.009520244598388673,1.2439552247524261,1.2439552247524261,72.11055755615234,0.3236386299133301,750,5156,750
3.1981348899266314e-05,3.1981348899266314e-05,0.00925140380859375,0.8653542280197144,0.8653542280197144,73.41156005859375,0.3184607982635498,800,5156,800
3.398268112074729e-05,3.398268112074729e-05,0.00927584171295166,0.8618743896484375,0.8618743896484375,82.94391632080078,0.31919949054718016,850,5156,850
3.5984013342228235e-05,3.5984013342228235e-05,0.00929412841796875,0.6542560577392578,0.6542560577392578,78.22494506835938,0.31607785224914553,900,5156,900
3.7985345563709256e-05,3.7985345563709256e-05,0.009416556358337403,0.6295353293418884,0.6295353293418884,85.1877212524414,0.32272412776947024,950,5156,950
3.998667778519025e-05,3.998667778519025e-05,0.009288263320922852,0.6328028969466686,0.6328028969466686,97.627197265625,0.3200266361236572,1000,5156,1000
4.198801000667124e-05,4.198801000667124e-05,0.009141111373901367,0.7356267631053924,0.7356267631053924,91.40892028808594,0.3121567487716675,1050,5156,1050
4.398934222815225e-05,4.398934222815225e-05,0.009321236610412597,0.8509137094020843,0.8509137094020843,86.10453796386719,0.31694703102111815,1100,5156,1100
4.599067444963324e-05,4.599067444963324e-05,0.009494972229003907,0.720148378610611,0.720148378610611,71.59715270996094,0.3191921949386597,1150,5156,1150
4.7992006671114227e-05,4.7992006671114227e-05,0.009428954124450684,0.7688125014305115,0.7688125014305115,67.92955780029297,0.3206432104110718,1200,5156,1200
4.999333889259521e-05,4.999333889259521e-05,0.008989667892456055,0.7764766767621041,0.7764766767621041,95.20356750488281,0.3113229751586914,1250,5156,1250
5.199467111407618e-05,5.199467111407618e-05,0.009324407577514649,0.6134744539856911,0.6134744539856911,82.9965591430664,0.3180341005325317,1300,5156,1300
5.399600333555716e-05,5.399600333555716e-05,0.009414744377136231,0.511446064710617,0.511446064710617,84.85187530517578,0.3209526062011719,1350,5156,1350
5.599733555703817e-05,5.599733555703817e-05,0.00923457145690918,0.6314040839672088,0.6314040839672088,92.11774444580078,0.3166402101516724,1400,5156,1400
5.799866777851912e-05,5.799866777851912e-05,0.009111881256103516,0.30371334999799726,0.30371334999799726,83.82835388183594,0.31808762550354003,1450,5156,1450
6.000000000000008e-05,6.000000000000008e-05,0.009054160118103028,0.6191319234669208,0.6191319234669208,46.165096282958984,0.3106642723083496,1500,5156,1500
5.998145098707257e-05,5.998145098707257e-05,0.009244012832641601,0.6857321679592132,0.6857321679592132,81.61216735839844,0.3182366371154785,1550,5156,1550
5.9962523422860786e-05,5.9962523422860786e-05,0.009048175811767579,0.48838976174592974,0.48838976174592974,93.03970336914062,0.308243989944458,1600,5156,1600
5.994359585864901e-05,5.994359585864901e-05,0.009038567543029785,0.5816948160529136,0.5816948160529136,95.90709686279297,0.3096661329269409,1650,5156,1650
5.992466829443726e-05,5.992466829443726e-05,0.009029746055603027,0.4852736294269562,0.4852736294269562,96.82677459716797,0.3108875036239624,1700,5156,1700
5.990574073022547e-05,5.990574073022547e-05,0.0089752197265625,0.5724648684263229,0.5724648684263229,78.8919448852539,0.3114780426025391,1750,5156,1750
5.988681316601369e-05,5.988681316601369e-05,0.00902554988861084,0.4264447897672653,0.4264447897672653,97.46520233154297,0.3091294288635254,1800,5156,1800
5.986788560180193e-05,5.986788560180193e-05,0.009138989448547363,0.5620566166937351,0.5620566166937351,91.68128967285156,0.3110442876815796,1850,5156,1850
