base_lr,lr,data_time,loss,decode.loss_ce,decode.acc_seg,time,iter,memory,step
1.9613655770513682e-06,1.9613655770513682e-06,0.006952548027038574,2.545870542526245,2.545870542526245,11.023139953613281,0.18523595333099366,50,7792,50
3.962697798532355e-06,3.962697798532355e-06,0.007327079772949219,2.567347538471222,2.567347538471222,71.88365936279297,0.1880507469177246,100,3192,100
5.964030020013346e-06,5.964030020013346e-06,0.006790924072265625,2.3693648099899294,2.3693648099899294,65.64140319824219,0.1868349075317383,150,3192,150
7.965362241494336e-06,7.965362241494336e-06,0.006777381896972657,1.935325062274933,1.935325062274933,43.282318115234375,0.18745582103729247,200,3192,200
9.96669446297533e-06,9.96669446297533e-06,0.006770038604736328,1.60085027217865,1.60085027217865,95.97344970703125,0.18653535842895508,250,3192,250
1.1968026684456319e-05,1.1968026684456319e-05,0.006648731231689453,1.3242124676704408,1.3242124676704408,81.88514709472656,0.1846019983291626,300,3192,300
1.3969358905937323e-05,1.3969358905937323e-05,0.006818342208862305,1.0452120274305343,1.0452120274305343,81.13265991210938,0.18869130611419677,350,3192,350
1.597069112741831e-05,1.597069112741831e-05,0.0067803382873535155,1.154962432384491,1.154962432384491,66.92989349365234,0.1873875379562378,400,3192,400
1.797202334889931e-05,1.797202334889931e-05,0.006748127937316895,1.2263329684734345,1.2263329684734345,62.24098205566406,0.1871023654937744,450,3192,450
1.9973355570380306e-05,1.9973355570380306e-05,0.006717824935913086,1.3092380613088608,1.3092380613088608,77.81497192382812,0.18425099849700927,500,3192,500
2.1974687791861306e-05,2.1974687791861306e-05,0.006874966621398926,0.7901288911700248,0.7901288911700248,82.2633285522461,0.18527872562408448,550,3192,550
2.3976020013342307e-05,2.3976020013342307e-05,0.007006287574768066,0.8374282658100128,0.8374282658100128,66.24050903320312,0.18560564517974854,600,3192,600
2.597735223482329e-05,2.597735223482329e-05,0.006778502464294433,1.0296348482370377,1.0296348482370377,76.98037719726562,0.18788352012634277,650,3192,650
2.797868445630428e-05,2.797868445630428e-05,0.006652617454528808,1.0866566263139248,1.0866566263139248,67.07714080810547,0.18488833904266358,700,3192,700
2.99800166777853e-05,2.99800166777853e-05,0.00673825740814209,1.032542699575424,1.032542699575424,93.77021789550781,0.1873239278793335,750,3192,750
3.1981348899266314e-05,3.1981348899266314e-05,0.006755852699279785,1.2158568233251572,1.2158568233251572,70.33085632324219,0.1875246286392212,800,3192,800
3.398268112074729e-05,3.398268112074729e-05,0.006745481491088867,0.7740812361240387,0.7740812361240387,96.01160430908203,0.18762810230255128,850,3192,850
3.5984013342228235e-05,3.5984013342228235e-05,0.006714296340942383,0.9758492827415466,0.9758492827415466,74.56169128417969,0.18482499122619628,900,3192,900
3.7985345563709256e-05,3.7985345563709256e-05,0.006757497787475586,0.8270443275570869,0.8270443275570869,74.31888580322266,0.18913006782531738,950,3192,950
3.998667778519025e-05,3.998667778519025e-05,0.006969261169433594,0.9528513312339782,0.9528513312339782,72.58064270019531,0.19300150871276855,1000,3192,1000
4.198801000667124e-05,4.198801000667124e-05,0.006889939308166504,0.8522788852453231,0.8522788852453231,58.766746520996094,0.19403653144836425,1050,3192,1050
4.398934222815225e-05,4.398934222815225e-05,0.00670926570892334,0.7564095877110958,0.7564095877110958,97.56848907470703,0.1890880823135376,1100,3192,1100
4.599067444963324e-05,4.599067444963324e-05,0.006738495826721191,0.7814852356910705,0.7814852356910705,55.849266052246094,0.19081215858459472,1150,3192,1150
4.7992006671114227e-05,4.7992006671114227e-05,0.006671452522277832,0.7404316335916519,0.7404316335916519,83.83312225341797,0.18732376098632814,1200,3192,1200
4.999333889259521e-05,4.999333889259521e-05,0.00682978630065918,0.516156068444252,0.516156068444252,94.3887710571289,0.19290509223937988,1250,3192,1250
5.199467111407618e-05,5.199467111407618e-05,0.006812095642089844,0.7977924391627311,0.7977924391627311,90.50035858154297,0.19295909404754638,1300,3192,1300
5.399600333555716e-05,5.399600333555716e-05,0.006736207008361817,0.5045285776257515,0.5045285776257515,66.50486755371094,0.18960611820220946,1350,3192,1350
5.599733555703817e-05,5.599733555703817e-05,0.00675048828125,0.559505072236061,0.559505072236061,97.0895767211914,0.1878145933151245,1400,3192,1400
5.799866777851912e-05,5.799866777851912e-05,0.0067118644714355465,0.6359081447124482,0.6359081447124482,78.39777374267578,0.1883091688156128,1450,3192,1450
6.000000000000008e-05,6.000000000000008e-05,0.006753373146057129,0.7471174269914627,0.7471174269914627,89.59539031982422,0.19100658893585204,1500,3192,1500
5.998145098707257e-05,5.998145098707257e-05,0.006723928451538086,0.5194372639060021,0.5194372639060021,85.13717651367188,0.18851206302642823,1550,3192,1550
5.9962523422860786e-05,5.9962523422860786e-05,0.006727194786071778,0.5485787600278854,0.5485787600278854,92.94853210449219,0.18774583339691162,1600,3192,1600
5.994359585864901e-05,5.994359585864901e-05,0.006722187995910645,0.5880999013781547,0.5880999013781547,94.71387481689453,0.1869969367980957,1650,3192,1650
5.992466829443726e-05,5.992466829443726e-05,0.006725525856018067,0.3289476692676544,0.3289476692676544,91.82889556884766,0.18802695274353026,1700,3192,1700
5.990574073022547e-05,5.990574073022547e-05,0.006883478164672852,0.5534760773181915,0.5534760773181915,67.21924591064453,0.1928286075592041,1750,3192,1750
5.988681316601369e-05,5.988681316601369e-05,0.0068313837051391605,0.482129592448473,0.482129592448473,82.53777313232422,0.19248611927032472,1800,3192,1800
5.986788560180193e-05,5.986788560180193e-05,0.006657171249389649,0.520736749470234,0.520736749470234,83.24311828613281,0.18824288845062256,1850,3192,1850
