model,dataset,targeted,target,attack,epsilon,alpha,iterations,norm,loss,optim,model_is_missing
craft,sintel-clean,False,,cospgd,0.0314,0.01,20,inf,epe,initial_flow,0
craft,sintel-clean,False,,pgd,0.0314,0.01,20,inf,epe,initial_flow,0
