,start_time,model,checkpoint,attack,norm,epsilon,targeted,target,loss,end_time,duration,dataset,epe,px1,px3,px5,outlier,own_epe,epe_orig_preds,own_epe_orig_preds,cosim_target,cosim_orig_preds,epe_ground_truth,own_epe_ground_truth,cosim_ground_truth,l2_delta1,l2_delta2,l2_delta12,l0_delta1,l0_delta2,l0_delta12,l_inf_delta1,l_inf_delta2,l_inf_delta12,cosim,iterations,alpha,epe_initial_to_negative,epe_initial_to_zero,own_epe_ground_truth_to_negative,own_epe_ground_truth_to_zero,epe_ground_truth_to_negative,epe_ground_truth_to_zero,optim,boxconstraint,conf_f1,val,name,severity
619,2024-05-14 23:54:41,rpknet,kitti,bim,inf,0.02,True,negative,epe,2024-05-14 23:59:25,00:04:44,kitti-2015,72.1205989086628,0.10259671547951257,0.13100633743681556,0.15884692382151117,86.8993625831604,,2.7483633529022335,,-0.9011058822274208,0.9011058822274208,2.530626831352711,,0.18029237108305096,,,,,,,,,,,3.0,0.01,,,,,,,ground_truth,,,,,
621,2024-05-14 23:56:42,rpknet,kitti,bim,inf,0.02,True,zero,epe,2024-05-15 00:01:53,00:05:10,kitti-2015,35.4707464158535,0.12345783356991433,0.18096910062522512,0.2334089328107075,81.90308992385864,,2.766123913154006,,0.0,0.908272235840559,2.5451620638370516,,0.18059878106694668,,,,,,,,,,,3.0,0.01,,,,,,,ground_truth,,,,,
622,2024-05-15 00:00:45,rpknet,kitti,pgd,inf,0.02,True,zero,epe,2024-05-15 00:05:27,00:04:42,kitti-2015,35.29798455893993,0.12551461034033765,0.18311678271384152,0.23542581185000017,81.68832179546357,,2.6885759009048344,,0.0,0.9083604100917,2.4565041288733482,,0.18060835680458695,,,,,,,,,,,3.0,0.01,,,,,,,ground_truth,,,,,
623,2024-05-15 00:00:44,rpknet,kitti,pgd,inf,0.02,True,negative,epe,2024-05-15 00:05:32,00:04:47,kitti-2015,71.90059205174447,0.10311744162336253,0.13175954694777828,0.1598153760824789,86.82403796672821,,2.6510589032620193,,-0.9003532235883176,0.9003532235883176,2.465447469204664,,0.18025507944170385,,,,,,,,,,,3.0,0.01,,,,,,,ground_truth,,,,,
625,2024-05-15 00:04:51,rpknet,kitti,cospgd,inf,0.02,True,negative,epe,2024-05-15 00:10:00,00:05:09,kitti-2015,71.94145718216896,0.10232763452360359,0.13120642144589056,0.1596712527775526,86.87935393810272,,2.5976226484403013,,-0.914815676100552,0.914815676100552,2.4499740497767926,,0.1804173680767417,,,,,,,,,,,3.0,0.01,,,,,,,ground_truth,,,,,
627,2024-05-15 00:06:48,rpknet,kitti,cospgd,inf,0.02,True,zero,epe,2024-05-15 00:11:36,00:04:47,kitti-2015,35.25993119120598,0.12320072480879389,0.1828935121196264,0.23544465890037827,81.71064873456955,,2.8027130671963096,,0.0,0.9188142155483365,2.540652199983597,,0.18071166526526214,,,,,,,,,,,3.0,0.01,,,,,,,ground_truth,,,,,
628,2024-05-15 00:12:52,rpknet,kitti,bim,inf,0.03,False,,epe,2024-05-15 00:17:23,00:04:31,kitti-2015,6.1707859313488,0.5511330373585224,0.7563861608505249,0.8137379865348339,21.680186508297922,,,,,,,,,,,,,,,,,,0.1793809927161783,3.0,0.01,,,,,,,ground_truth,,,,,
629,2024-05-15 00:12:52,rpknet,kitti,bim,inf,0.03,True,zero,epe,2024-05-15 00:18:00,00:05:08,kitti-2015,35.94403366208076,0.1231309516536885,0.18294096783385613,0.23547595750307665,81.70590321779251,,4.43205223761499,,0.0,0.8806817740458064,3.7151237326860427,,0.1791405816189945,,,,,,,,,,,3.0,0.01,,,,,,,ground_truth,,,,,
630,2024-05-15 00:12:52,rpknet,kitti,bim,inf,0.03,True,negative,epe,2024-05-15 00:18:03,00:05:11,kitti-2015,72.54116071343422,0.10040722385387653,0.1291975803425066,0.15705670639894379,87.08023805618286,,4.747981723546982,,-0.8719218223541975,0.8719218223541975,3.9997651529312135,,0.1781249037059024,,,,,,,,,,,3.0,0.01,,,,,,,ground_truth,,,,,
631,2024-05-15 00:12:52,rpknet,kitti,pgd,inf,0.03,True,negative,epe,2024-05-15 00:18:15,00:05:23,kitti-2015,71.46005253434181,0.1037364948831464,0.1331053405614921,0.16163718142488506,86.68946562290192,,3.4480146409571173,,-0.8753052537888288,0.8753052537888288,3.121158598959446,,0.1792854609945789,,,,,,,,,,,3.0,0.01,,,,,,,ground_truth,,,,,
