base_lr,lr,data_time,grad_norm,loss,decode.loss_cls,decode.loss_mask,decode.loss_dice,decode.d0.loss_cls,decode.d0.loss_mask,decode.d0.loss_dice,decode.d1.loss_cls,decode.d1.loss_mask,decode.d1.loss_dice,decode.d2.loss_cls,decode.d2.loss_mask,decode.d2.loss_dice,decode.d3.loss_cls,decode.d3.loss_mask,decode.d3.loss_dice,decode.d4.loss_cls,decode.d4.loss_mask,decode.d4.loss_dice,decode.d5.loss_cls,decode.d5.loss_mask,decode.d5.loss_dice,decode.d6.loss_cls,decode.d6.loss_mask,decode.d6.loss_dice,decode.d7.loss_cls,decode.d7.loss_mask,decode.d7.loss_dice,decode.d8.loss_cls,decode.d8.loss_mask,decode.d8.loss_dice,time,iter,memory,step
9.997243690562982e-05,9.997243690562988e-06,0.008996248245239258,202.1568473815918,82.14589080810546,1.9679383516311646,3.3166867017745973,3.2371639966964723,6.506167793273926,2.721495008468628,2.9213319778442384,1.7998688101768494,2.750490665435791,2.8752365589141844,1.7428426623344422,2.7424485206604006,2.9360445737838745,1.701786732673645,2.7584758043289184,3.007570815086365,1.7736720800399781,2.7073245286941527,2.932606244087219,1.8012076616287231,2.797196555137634,2.996467685699463,1.8497193574905395,2.7890329360961914,3.055772137641907,1.9412333726882935,3.0432769536972044,3.06668016910553,1.9524603962898255,3.2846907138824464,3.169002914428711,0.4060080051422119,50,13047,50
9.994431042870629e-05,9.994431042870633e-06,0.008771014213562012,626.027963256836,67.175777053833,1.6591784715652467,2.4165963411331175,2.4237706899642943,6.3957061767578125,2.3434340238571165,2.283621978759766,1.5274675965309144,2.4549258947372437,2.2994916319847105,1.4637587904930114,2.4580227375030517,2.335425078868866,1.5500764966011047,2.4290615797042845,2.251058268547058,1.5303151249885558,2.3631261467933653,2.2052302837371824,1.542632257938385,2.3639587640762327,2.2023611783981325,1.545111083984375,2.3743857026100157,2.3281150102615356,1.5620904803276061,2.308199369907379,2.298248827457428,1.5482111811637878,2.355776143074036,2.3564207553863525,0.4053724527359009,100,5980,100
9.991618307226702e-05,9.991618307226695e-06,0.00843949317932129,747.6214050292969,57.545888900756836,1.3563577353954315,2.280434453487396,1.6973321557044982,6.28071084022522,2.0707528591156006,1.7696863889694214,1.2923467934131623,2.1659943580627443,1.770750641822815,1.2719220161437987,2.176416826248169,1.7632066011428833,1.3487454116344453,2.1850602865219115,1.7689721584320068,1.3968893766403199,2.136194097995758,1.7241023182868958,1.391619998216629,2.185915696620941,1.68606538772583,1.386920565366745,2.199719512462616,1.6495022773742676,1.4303995668888092,2.216976189613342,1.7115285992622375,1.3381375908851623,2.1518332839012144,1.7413939476013183,0.4059251070022583,150,5970,150
9.988805483600922e-05,9.988805483600909e-06,0.008527898788452148,800.475131225586,62.56974983215332,1.4484468340873717,2.213591992855072,2.077744781970978,6.148870658874512,2.1834779500961305,2.0675076127052305,1.4247973322868348,2.2407185316085814,2.1023301601409914,1.4106651425361634,2.2288506746292116,2.091241419315338,1.4261885285377502,2.204348659515381,2.12826247215271,1.4915815591812134,2.253127133846283,2.126831829547882,1.4696332335472106,2.26501088142395,2.1427653312683104,1.5106482267379762,2.23176748752594,2.084793305397034,1.482820749282837,2.263114309310913,2.078014302253723,1.4749855041503905,2.2551572799682615,2.0424566149711607,0.405826473236084,200,5967,200
9.985992571963016e-05,9.985992571963006e-06,0.00849621295928955,1139.612857055664,60.47446136474609,1.5309438586235047,2.143832540512085,2.009248375892639,6.2144691944122314,1.9991071581840516,1.9512104272842408,1.5517883539199828,2.1164737224578856,1.9466431498527528,1.475295066833496,2.158117687702179,1.9493412375450134,1.4017278671264648,2.1454715609550474,2.0100666642189027,1.3367828726768494,2.2125378966331484,1.9555110812187195,1.3251014232635498,2.2268272638320923,1.964880681037903,1.3559503436088562,2.189795196056366,2.06046222448349,1.3838481307029724,2.218277966976166,2.0326733350753785,1.4441418528556824,2.1894561052322388,1.974479341506958,0.4057090520858765,250,5972,250
9.983179572282673e-05,9.983179572282663e-06,0.008462238311767577,1203.7801696777344,56.029798889160155,1.377000331878662,2.0771916031837465,1.763050627708435,6.033251237869263,1.9270461082458497,1.85453599691391,1.3239925265312196,2.049581158161163,1.7996870517730712,1.2078274011611938,2.0057912707328795,1.8543132662773132,1.195703113079071,2.049955439567566,1.8366941452026366,1.1526427507400512,2.186646115779877,1.881804597377777,1.1290637373924255,2.093506729602814,1.8826482892036438,1.1462242484092713,2.2302544474601746,1.7889931738376617,1.2220784187316895,2.043411076068878,1.7996919751167297,1.277827525138855,2.067969059944153,1.7714154720306396,0.4055884599685669,300,5970,300
9.980366484529575e-05,9.980366484529565e-06,0.008513617515563964,1364.9944213867188,52.77013397216797,1.2890082716941833,1.9928938150405884,1.6740276157855987,5.949125480651856,1.8286423802375793,1.6319423019886017,1.2343012988567352,1.941470468044281,1.6496220111846924,1.1354284584522247,2.0516805171966555,1.6159692049026488,1.1130599319934844,1.9690171003341674,1.6161890625953674,1.1850159585475921,1.897362220287323,1.5258541345596313,1.2111426174640656,1.9882913947105407,1.5328961849212646,1.257973498106003,1.975141453742981,1.5897994995117188,1.3299174368381501,2.0225857377052305,1.6219493865966796,1.291461217403412,2.01291344165802,1.6354518711566925,0.40485267639160155,350,5970,350
9.977553308673395e-05,9.97755330867338e-06,0.008429598808288575,1160.9733489990235,55.64710960388184,1.3053914964199067,2.2092740416526793,1.7925186514854432,5.849666452407837,2.0123490691184998,1.7379108905792235,1.2109340727329254,2.1427294492721556,1.7303709149360658,1.171716070175171,2.09066880941391,1.7384263157844544,1.1448693990707397,2.2086063504219053,1.771049392223358,1.1319857716560364,2.14999235868454,1.7756300091743469,1.2185804307460786,2.1235535860061647,1.685915970802307,1.315113800764084,2.1073328018188477,1.6902285099029541,1.217471867799759,2.1906491041183473,1.6672084093093873,1.2150721609592439,2.2569987535476685,1.7848944783210754,0.40474936962127683,400,5967,400
9.974740044683742e-05,9.974740044683723e-06,0.008376026153564453,817.5964263916015,49.968397521972655,1.1519304454326629,1.9056460022926331,1.4908631265163421,5.729349803924561,1.8479299068450927,1.5591634154319762,1.1625512838363647,1.8806687593460083,1.4961103558540345,1.1538231730461121,1.8884987950325012,1.5108537137508393,1.1501881003379821,1.8773121237754822,1.4568437337875366,1.1531023979187012,1.9067509412765502,1.4948637068271637,1.2095304608345032,1.911667287349701,1.5073725521564483,1.1412155747413635,1.9032684206962585,1.4888501942157746,1.1465427160263062,1.8877426266670227,1.4293541967868806,1.183846080303192,1.8970008611679077,1.4455565512180328,0.40552616119384766,450,5967,450
9.971926692530254e-05,9.971926692530234e-06,0.008484840393066406,930.3475692749023,52.408115768432616,1.1365588903427124,1.9398065447807311,1.5742300868034362,5.593434000015259,1.916329300403595,1.6056779623031616,1.1658490121364593,1.9625367045402526,1.5816941618919373,1.1882534503936768,1.9906172394752502,1.6076428651809693,1.148471075296402,2.0437800168991087,1.5866281151771546,1.2022685945034026,2.005444622039795,1.5989464402198792,1.1715132772922516,2.0533292174339293,1.5858914256095886,1.0929443895816804,2.2028854370117186,1.6926797568798064,1.0609977126121521,2.25161634683609,1.7122760534286499,1.083806961774826,2.0388102650642397,1.6131957471370697,0.40599310398101807,500,5967,500
9.969113252182524e-05,9.969113252182494e-06,0.008425474166870117,1291.1442657470702,52.99544448852539,1.322616171836853,1.9323739767074586,1.6648122549057007,5.525481843948365,1.8619930028915406,1.6276973128318786,1.2083816528320312,1.9387542009353638,1.629302978515625,1.2532328486442565,1.9280533075332642,1.657050335407257,1.2943022906780244,1.970044457912445,1.6199998736381531,1.3541656494140626,1.880659031867981,1.6210856318473816,1.4119186878204346,1.881223475933075,1.6540777206420898,1.3055588066577912,1.9039998292922973,1.6637663841247559,1.3292949557304383,1.9412137150764466,1.6939875841140748,1.2917944073677063,1.9363847970962524,1.6922149777412414,0.4055238962173462,550,5968,550
9.966299723610126e-05,9.966299723610091e-06,0.008350539207458495,1375.9797912597655,48.74816551208496,1.153124952316284,1.8248786568641662,1.5641086935997008,5.362368249893189,1.7050459504127502,1.5920812785625458,1.0821239531040192,1.683630073070526,1.500077337026596,1.0751062273979186,1.7279497146606446,1.5140011250972747,1.09792018532753,1.8085089206695557,1.5140082836151123,1.0474597692489624,1.828806507587433,1.6073730826377868,1.0544693768024445,1.8454993844032288,1.6622888267040252,0.9944821119308471,1.7932397961616515,1.65838543176651,0.9694835782051087,1.8619068026542664,1.7327920556068421,0.9861149549484253,1.8392860531806945,1.6616429328918456,0.40575573444366453,600,5980,600
9.963486106782632e-05,9.963486106782598e-06,0.008403706550598144,721.6065887451172,43.49369354248047,0.947110790014267,1.6653702080249786,1.3093371570110321,5.272918081283569,1.5485930562019348,1.3511283278465271,0.9300185918807984,1.6101079821586608,1.3107696413993835,0.9463936746120453,1.6443151831626892,1.3838287472724915,0.9316565930843353,1.6744229674339295,1.3674923002719879,0.9753297984600067,1.6338478684425355,1.3123138785362243,0.9158442974090576,1.688894808292389,1.3284365653991699,0.9341273903846741,1.6994733691215516,1.298471248149872,0.9139062285423278,1.6711293935775757,1.3248234748840333,0.8753228306770324,1.693646067380905,1.3346639335155488,0.40535697937011717,650,5970,650
9.960672401669569e-05,9.960672401669535e-06,0.008394479751586914,1248.4623138427735,46.267045974731445,1.0390404641628266,1.963891625404358,1.3266410768032073,5.123699617385864,1.8668283700942994,1.3526033878326416,1.061504489183426,1.8420678496360778,1.3021803557872773,0.9927817940711975,1.8905145049095153,1.31970134973526,1.0375169813632965,1.829952871799469,1.2554168581962586,1.0250873565673828,1.8959349513053894,1.2907143712043763,1.02903693318367,1.8976014375686645,1.2852675795555115,1.0781511306762694,1.892822301387787,1.283616691827774,1.002405297756195,1.8986758232116698,1.294442927837372,0.9897211074829102,1.9134004592895508,1.2858266353607177,0.40527663230895994,700,5970,700
9.957858608240453e-05,9.957858608240412e-06,0.008474206924438477,920.8554107666016,53.957774543762206,1.1643085300922393,2.1739542126655578,1.7274902403354644,5.1508222103118895,1.9711953401565552,1.7127997994422912,1.2538333773612975,2.037110465764999,1.7341300129890442,1.2738961696624755,2.028593748807907,1.7276252269744874,1.1883094549179076,2.1399324238300323,1.680787205696106,1.129581207036972,2.1074023127555845,1.7327126145362854,1.1040861845016479,2.1242032170295717,1.742334508895874,1.071046483516693,2.1778269171714784,1.7601983666419982,1.063353216648102,2.16577810049057,1.8294490098953247,1.1254294276237489,2.1200748026371,1.7395113110542297,0.4060689449310303,750,5966,750
9.955044726464788e-05,9.955044726464747e-06,0.008437299728393554,1077.8281127929688,49.34120483398438,1.064505273103714,1.8335684061050415,1.5349419355392455,4.9994309425354,1.8008405685424804,1.5935562610626222,1.0942499697208405,1.7868989825248718,1.5701819479465484,1.1054367542266845,1.8491142988204956,1.5655869841575623,1.149292093515396,1.831028652191162,1.5845797657966614,1.122720730304718,1.9103986501693726,1.5933633208274842,1.1098034620285033,1.9115951180458068,1.5859291672706604,1.1898986756801606,1.849354100227356,1.613321053981781,1.1044142365455627,1.8942512154579163,1.5611846685409545,1.0646934270858766,1.8899839401245118,1.5770806431770326,0.40526297092437746,800,5972,800
9.952230756312052e-05,9.952230756312007e-06,0.00836942195892334,1020.3779113769531,48.62906913757324,1.0597519010305405,1.8847939610481261,1.5320167303085328,4.929915475845337,1.7937269449234008,1.4873917937278747,1.077591997385025,1.8982933521270753,1.5180535972118379,1.0643219769001007,1.9397304773330688,1.5548604547977447,1.0586188077926635,1.8946191668510437,1.4761114239692688,1.0746664345264434,1.9035342931747437,1.5267221331596375,1.139480036497116,1.8426679611206054,1.4998952507972718,1.0271382987499238,1.897073793411255,1.58541339635849,0.9972244024276733,1.9100332260131836,1.5687616348266602,1.033502358198166,1.9149282336235047,1.5382282495498658,0.40464215278625487,850,5967,850
9.949416697751694e-05,9.949416697751654e-06,0.009091782569885253,1099.28369140625,49.458787536621095,1.0934267401695252,1.8159406304359436,1.6239267885684967,4.83405704498291,1.788387668132782,1.6844030261039733,1.1563347399234771,1.761833918094635,1.6222048282623291,1.2109812796115875,1.7620284676551818,1.618016344308853,1.2457315385341645,1.7673990726470947,1.5855089128017426,1.1794992446899415,1.79625506401062,1.6765253245830536,1.2008971691131591,1.7699122190475465,1.6301392316818237,1.1325700163841248,1.8062249302864075,1.624759966135025,1.1141021609306336,1.8585188865661622,1.5939396262168883,1.078704035282135,1.8092381715774537,1.6173213601112366,0.40572190284729004,900,5982,900
9.946602550753162e-05,9.946602550753126e-06,0.008291196823120118,922.0662048339843,45.6200496673584,1.1345255434513093,1.6584481239318847,1.536881923675537,4.692398309707642,1.586865210533142,1.5415783405303956,1.0577268481254578,1.5832204937934875,1.4505872786045075,1.1090485334396363,1.5726410746574402,1.452107310295105,1.0501745641231537,1.6010035037994386,1.4327479600906372,1.0714482307434081,1.601095449924469,1.5105983138084411,1.0952572405338288,1.598408591747284,1.472442376613617,1.1018048107624054,1.6172323346138,1.5329710066318512,1.1086255669593812,1.618440318107605,1.511799305677414,1.1029499471187592,1.6873120188713073,1.5297117471694945,0.4048877716064453,950,5966,950
9.943788315285864e-05,9.943788315285836e-06,0.008378195762634277,974.3607849121094,43.25526466369629,0.9855673372745514,1.595872700214386,1.3543166399002076,4.53037428855896,1.5130834460258484,1.431321132183075,1.0369243264198302,1.5195943236351013,1.419740116596222,1.0256269454956055,1.5336108446121215,1.3258612692356109,0.9308921098709106,1.5748638272285462,1.3930938720703125,1.0337029337882995,1.6016113400459289,1.4256369471549988,1.0493945479393005,1.6074568629264832,1.392336130142212,1.0316850244998932,1.5962195634841918,1.4097871780395508,1.0160249471664429,1.5935418128967285,1.379732722043991,1.0415338933467866,1.5530194520950318,1.352838009595871,0.4056903123855591,1000,5968,1000
9.940973991319207e-05,9.94097399131918e-06,0.008292961120605468,2459.955242919922,45.18966808319092,0.8055623680353164,1.9742327690124513,1.4668631434440613,4.375792837142944,1.813359522819519,1.3877017796039581,0.8720125108957291,1.8561368942260743,1.3741225123405456,0.89676453769207,1.9424675047397613,1.379392433166504,0.8475614756345748,1.8973861455917358,1.3512884318828582,0.9744348019361496,1.8135662436485291,1.3546707451343536,0.9395006656646728,1.9308239698410035,1.363188350200653,0.8584648907184601,1.9186603784561158,1.4108180761337281,0.875364077091217,1.8681277632713318,1.4074144065380096,0.8148197531700134,1.95414479970932,1.465022712945938,0.4052318811416626,1050,5966,1050
9.938159578822564e-05,9.938159578822545e-06,0.00835263729095459,824.5943725585937,47.19846687316895,1.0435532569885253,1.6865827441215515,1.6126787424087525,4.324546480178833,1.6881625413894654,1.670649254322052,1.120569908618927,1.6283559203147888,1.6137447953224182,1.1102736055850984,1.7336809515953064,1.6129286408424377,1.1149418890476226,1.7004413843154906,1.6754624009132386,1.0834363877773285,1.6584720015525818,1.6318007588386536,1.083862268924713,1.666161549091339,1.621757185459137,1.0670545041561126,1.644139540195465,1.6102843523025512,1.1151049256324768,1.6878984808921813,1.6219521045684815,1.0954256892204284,1.6376617193222045,1.6368814945220946,0.4060971260070801,1100,5969,1100
9.93534507776529e-05,9.935345077765273e-06,0.008232426643371583,1003.3184448242188,42.56742534637451,0.8437187075614929,1.5801751792430878,1.3686895549297333,4.128775262832642,1.599860680103302,1.4245176255702972,0.9180519759654999,1.5888449370861053,1.3859444320201875,0.9289427518844604,1.6247114539146423,1.3450402975082398,0.866672134399414,1.6277138650417329,1.370074498653412,0.8238370537757873,1.7400934159755708,1.396138733625412,0.8182618856430054,1.7044191718101502,1.4388679563999176,0.8687030434608459,1.7601508438587188,1.5024531602859497,0.8251778364181519,1.7015058875083924,1.5354878544807433,0.8316455781459808,1.6255515575408936,1.393398678302765,0.40677695274353026,1150,5972,1150
9.932530488116722e-05,9.9325304881167e-06,0.00826263427734375,722.7940734863281,41.43248405456543,0.8179713189601898,1.736129379272461,1.2612716436386109,4.089815735816956,1.5589229583740234,1.277120080590248,0.8877507537603379,1.653983998298645,1.2059569269418717,0.9270374953746796,1.6225485742092132,1.2493861943483353,0.8706935703754425,1.6963273644447328,1.2270602941513062,0.9561479389667511,1.6879319071769714,1.2727395713329315,0.9329161524772644,1.7950195014476775,1.2827765375375748,0.913473954796791,1.6492473006248474,1.2576720297336579,0.8466906905174255,1.7089577853679656,1.2460343182086944,0.8492731392383576,1.724591726064682,1.2270338535308838,0.40488290786743164,1200,5969,1200
9.929715809846181e-05,9.929715809846151e-06,0.00835113525390625,780.9118103027344,46.38312950134277,0.983397799730301,1.707372796535492,1.60040340423584,3.965839719772339,1.654152548313141,1.6730518221855164,1.0432232558727264,1.6677641868591309,1.5704637110233306,1.1013643980026244,1.6840506553649903,1.636125487089157,1.069654154777527,1.6518446326255798,1.5968499302864074,1.079618513584137,1.7271129846572877,1.708769476413727,0.9774155735969543,1.731151568889618,1.5850593090057372,1.0345953941345214,1.695359218120575,1.6342100203037262,1.011083197593689,1.706310248374939,1.6271996974945069,0.9926147639751435,1.6845632910728454,1.5825072884559632,0.4062896966934204,1250,5982,1250
9.926901042922958e-05,9.926901042922925e-06,0.008284330368041992,1454.2134033203124,42.0308801651001,0.9116797387599945,1.5324233531951905,1.3844573557376862,3.786998724937439,1.5330751419067383,1.4913691282272339,0.9609675437211991,1.552905946969986,1.425064355134964,0.998214715719223,1.5792003214359283,1.403026807308197,0.9084185361862183,1.5834216177463531,1.4469249606132508,1.0069909125566483,1.5757497489452361,1.3546716749668122,0.9939692437648773,1.5440942823886872,1.3437377631664276,0.9183856844902039,1.5869554698467254,1.3741626977920531,0.9030669450759887,1.5935052156448364,1.3818770945072174,0.8820048063993454,1.6777694582939149,1.3957913041114807,0.40624816417694093,1300,5975,1300
9.924086187316331e-05,9.924086187316293e-06,0.008295297622680664,776.0618255615234,40.88834571838379,0.8690804958343505,1.407996839284897,1.4572073221206665,3.6563103675842283,1.3674495935440063,1.5372001588344575,0.91682750582695,1.3968162417411805,1.4752842307090759,0.9444305956363678,1.4069509625434875,1.4966012060642242,0.9278481364250183,1.4118062853813171,1.527794647216797,0.9826581537723541,1.3738606214523315,1.4751573920249939,0.9105731010437011,1.4146991670131683,1.494159334897995,0.9132172405719757,1.4030173599720002,1.509711492061615,0.9691046953201294,1.3969586730003356,1.4976768970489502,0.8619334161281585,1.4004953742027282,1.4855181574821472,0.40621755123138426,1350,5967,1350
9.921271242995545e-05,9.921271242995504e-06,0.008697748184204102,704.7070022583008,40.88553009033203,0.7786544770002365,1.5075672090053558,1.4926069855690003,3.5109559535980224,1.533344829082489,1.5363680243492126,0.786382645368576,1.4923018217086792,1.4385011196136475,0.8201028883457184,1.530647087097168,1.4907994985580444,0.7917304843664169,1.486360454559326,1.4384719610214234,0.8179369091987609,1.505826508998871,1.435391801595688,0.8250400602817536,1.5564968466758728,1.4522656202316284,0.8111542880535125,1.5592672526836395,1.5323091983795165,0.8470470368862152,1.5574245989322661,1.5578697800636292,0.8073740094900131,1.5085560441017152,1.4767756700515746,0.4071468114852905,1400,5967,1400
